CVDID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
1312.0,1.0,3.0,2.0,2.0,49.0,40.0,2.0,2.0,5.0,4.0
1318.0,1.0,4.0,2.0,2.0,46.0,30.0,1.0,2.0,6.0,7.0
1326.0,1.0,2.0,2.0,3.0,3.0,34.0,1.0,1.0,7.0,3.0
1327.0,1.0,3.0,3.0,2.0,5.0,29.0,1.0,1.0,6.0,5.0
1328.0,1.0,3.0,1.0,7.0,47.0,37.0,2.0,2.0,5.0,7.0
1330.0,1.0,2.0,2.0,2.0,32.0,28.0,2.0,2.0,5.0,7.0
1331.0,1.0,2.0,1.0,5.0,42.0,54.0,2.0,2.0,5.0,3.0
1332.0,1.0,3.0,1.0,6.0,14.0,35.0,1.0,2.0,5.0,3.0
1335.0,1.0,4.0,1.0,5.0,43.0,25.0,2.0,2.0,5.0,6.0
1338.0,1.0,1.0,1.0,6.0,22.0,18.0,1.0,2.0,5.0,3.0
1339.0,1.0,5.0,2.0,6.0,5.0,28.0,1.0,2.0,4.0,4.0
1371.0,1.0,3.0,1.0,6.0,42.0,29.0,1.0,2.0,5.0,4.0
1385.0,1.0,4.0,2.0,2.0,22.0,36.0,1.0,2.0,4.0,5.0
1393.0,1.0,2.0,3.0,2.0,44.0,25.0,1.0,1.0,6.0,7.0
1397.0,1.0,3.0,1.0,6.0,5.0,59.0,1.0,2.0,5.0,2.0
1405.0,1.0,2.0,3.0,4.0,5.0,42.0,2.0,2.0,4.0,5.0
1407.0,1.0,2.0,2.0,2.0,18.0,28.0,2.0,2.0,2.0,7.0
